country,year,sex,age,suicides_no,population,suicides/100k pop
Australia,2014,male,35-54 years,866,3130341,27.66
Australia,2014,male,75+ years,164,649925,25.23
Australia,2014,male,25-34 years,404,1730968,23.34
Australia,2014,male,55-74 years,471,2279114,20.67
Australia,2014,male,15-24 years,271,1604935,16.89
Australia,2014,female,35-54 years,277,3189475,8.68
Australia,2014,female,25-34 years,119,1716803,6.93
Australia,2014,female,55-74 years,157,2344644,6.7
Australia,2014,female,15-24 years,96,1520955,6.31
Australia,2014,female,75+ years,45,865915,5.2
Australia,2014,female,5-14 years,15,1408758,1.06
Australia,2014,male,5-14 years,6,1485754,0.4
Australia,2015,male,35-54 years,944,3149299,29.97
Australia,2015,male,75+ years,181,673787,26.86
Australia,2015,male,25-34 years,423,1762265,24.0
Australia,2015,male,55-74 years,457,2337430,19.55
Australia,2015,male,15-24 years,281,1608990,17.46
Australia,2015,female,35-54 years,294,3203643,9.18
Australia,2015,female,15-24 years,110,1526305,7.21
Australia,2015,female,25-34 years,119,1747715,6.81
Australia,2015,female,55-74 years,152,2411343,6.3
Australia,2015,female,75+ years,52,884347,5.88
Australia,2015,female,5-14 years,8,1428159,0.56
Australia,2015,male,5-14 years,6,1507502,0.4
Austria,2010,male,75+ years,180,240431,74.87
Austria,2010,male,55-74 years,287,838208,34.24
Austria,2010,male,35-54 years,325,1296607,25.07
Austria,2010,male,15-24 years,91,518657,17.55
Austria,2010,male,25-34 years,85,542986,15.65
Austria,2010,female,75+ years,62,431151,14.38
Austria,2010,female,55-74 years,90,923411,9.75
Austria,2010,female,35-54 years,102,1291400,7.9
Austria,2010,female,25-34 years,25,539299,4.64
Austria,2010,female,15-24 years,14,499638,2.8
Austria,2010,male,5-14 years,2,433795,0.46
Austria,2010,female,5-14 years,1,412838,0.24
Austria,2011,male,75+ years,196,245207,79.93
Austria,2011,male,55-74 years,276,855700,32.25
Austria,2011,male,35-54 years,336,1292255,26.0
Austria,2011,male,25-34 years,97,546027,17.76
Austria,2011,female,75+ years,58,431128,13.45
Austria,2011,male,15-24 years,67,518095,12.93
Austria,2011,female,55-74 years,113,942311,11.99
Austria,2011,female,35-54 years,95,1288452,7.37
Austria,2011,female,15-24 years,23,498172,4.62
Austria,2011,female,25-34 years,23,542031,4.24
Austria,2011,male,5-14 years,3,428198,0.7
Austria,2011,female,5-14 years,1,407570,0.25
Austria,2012,male,75+ years,189,250032,75.59
Austria,2012,male,55-74 years,298,874391,34.08
Austria,2012,male,35-54 years,332,1286522,25.81
Austria,2012,male,25-34 years,99,553047,17.9
Austria,2012,female,75+ years,76,430436,17.66
Austria,2012,male,15-24 years,66,519503,12.7
Austria,2012,female,55-74 years,99,962372,10.29
Austria,2012,female,35-54 years,87,1283769,6.78
Austria,2012,female,25-34 years,20,547787,3.65
Austria,2012,female,15-24 years,6,497838,1.21
Austria,2012,male,5-14 years,3,422849,0.71
Austria,2012,female,5-14 years,1,402730,0.25
Austria,2013,male,75+ years,221,255540,86.48
Austria,2013,male,55-74 years,299,893602,33.46
Austria,2013,male,35-54 years,317,1282009,24.73
Austria,2013,female,75+ years,64,431074,14.85
Austria,2013,male,25-34 years,75,563630,13.31
Austria,2013,female,55-74 years,118,981829,12.02
Austria,2013,male,15-24 years,54,518852,10.41
Austria,2013,female,35-54 years,94,1279480,7.35
Austria,2013,female,25-34 years,25,556475,4.49
